Frequency [Hz];Amplitude ratio;Phase shift [deg]
1;1.0000043370731393;-0.015169328960897746
6;1.0001596234591812;-0.09044140788833037
11;1.0005583084013625;-0.1639415114340179
16;1.0012294473599368;-0.23591958767020016
21;1.0021875875222834;-0.30745472135862656
26;1.0034346920511579;-0.3795581295923005
31;1.0049676299439338;-0.45293636362342043
36;1.0067823673478005;-0.5280546388538859
41;1.008875399154664;-0.6052301182179257
46;1.0112440493256123;-0.6846927684263345
51;1.0138864441308293;-0.7666186001022032
56;1.016801431449291;-0.8511473252517107
61;1.0199885159893056;-0.9383922425683846
66;1.0234478185602334;-1.0284463912886286
71;1.0271800532769606;-1.1213868945869574
76;1.0311865157904114;-1.2172783689428892
81;1.035469077680125;-1.3161757897549522
86;1.0400301841393564;-1.4181269854303804
91;1.0448728534786302;-1.5231748381282317
96;1.050000677830071;-1.631359230978914
101;1.0554178249174857;-1.7427187673380693
106;1.061129041007389;-1.857292283151687
111;1.0671396552715455;-1.9751201725491727
116;1.0734555858334192;-2.0962455467522303
121;1.0800833477755685;-2.2207152463318143
126;1.087030063373182;-2.3485807264913863
131;1.0943034748018847;-2.479898834395191
136;1.101911959551544;-2.614732496669558
141;1.1098645487649652;-2.753151334169471
146;1.1181709487124254;-2.8952322199958447
151;1.126841565610443;-3.0410597956292853
156;1.1358875339962093;-3.19072695895719
161;1.1453207488776023;-3.344335336946055
166;1.155153901892659;-3.501995754774851
171;1.1654005217316596;-3.663828712417189
176;1.1760750190995517;-3.8299648789544727
181;1.1871927365263057;-4.000545614330048
186;1.1987700033680664;-4.17572352782429
191;1.2108241963827076;-4.355663082248684
196;1.2233738063099913;-4.540541252728783
201;1.2364385109391818;-4.730548248976071
206;1.250039255206237;-4.925888310142021
211;1.2641983389290739;-5.126780581709781
216;1.2789395128636178;-5.333460084416639
221;1.2942880838462192;-5.546178785923551
226;1.3102710298804228;-5.765206786866646
231;1.3269171261292603;-5.990833634056667
236;1.3442570828892746;-6.223369774952752
241;1.362323696750897;-6.463148169150655
246;1.3811520162931348;-6.710526074521691
251;1.400779523820452;-6.965887027850534
256;1.4212463348281903;-7.229643042390609
261;1.4425954170818567;-7.502237047734529
266;1.4648728314172446;-7.78414560084326
271;1.4881279966148273;-8.07588190106244
276;1.5124139809753419;-8.37799914656055
281;1.537787823525982;-8.691094274950485
286;1.5643108881197971;-9.015812137018488
291;1.5920492540558377;-9.35285015961957
296;1.6210741472443244;-9.70296356206531
301;1.651462416368092;-10.066971199914539
306;1.6832970589448077;-10.445762121198625
311;1.7166678026664195;-10.840302933021325
316;1.751671747870103;-11.25164609146185
321;1.788414077458247;-11.680939245111725
326;1.8270088410025274;-12.129435782772694
331;1.8675798200919307;-12.59850675925842
336;1.910261482148205;-13.08965440034787
341;1.9552000298348178;-13.604527419234875
346;2.0025545526836743;-14.144938412821094
351;2.0524982864529995;-14.712883647401172
356;2.1052199837189822;-15.310565590094814
361;2.1609253958815846;-15.940418595003568
366;2.219838861551311;-16.605138211368256
371;2.2822049883632656;-17.307714644213252
376;2.3482904034952967;-18.05147096430108
381;2.4183855309520736;-18.840106730248362
386;2.492806328795882;-19.67774774534965
391;2.5718958838817576;-20.569002714973596
396;2.65602571105641;-21.51902758115571
401;2.7455965324323515;-22.533598263730322
406;2.8410382124692686;-23.619192392664797
411;2.9428083858793523;-24.783080314286753
416;3.05138912452854;-26.033425105085
421;3.1672807300578096;-27.379390398300423
426;3.290991391812481;-28.831253328817194
431;3.4230209954024273;-30.40051755953245
436;3.5638367916866596;-32.10001779557246
441;3.713837942349328;-33.944001935452505
446;3.873305190018459;-35.948169462291474
451;4.042331182693755;-38.12963422732207
456;4.220726585961182;-40.506765982407416
461;4.407897556626078;-43.09884805929934
466;4.602692297265554;-45.92547010762312
471;4.8032195588551705;-49.00555924469309
476;5.006651717108756;-52.355949441802466
481;5.209040760010903;-55.9894128827972
486;5.405196842151612;-59.912149687373
491;5.588701507760531;-64.12087491454788
496;5.7521399991818765;-68.59985904197559
501;5.887621198971343;-73.31853270077023
506;5.987592183127515;-78.23045565009718
511;6.045847040780269;-83.27441835090282
516;6.05851190063025;-88.37806424184234
521;6.024727620883925;-93.46372162713622
526;5.9468077115529;-98.45537609223602
531;5.829817093116621;-103.2852814700784
536;5.680714581097864;-107.89884734963157
541;5.507323872223664;-112.25707197557833
546;5.317395101067476;-116.3365651104368
551;5.117922631300719;-120.12777367023193
556;4.914764973994676;-123.63223102234048
561;4.712524835232162;-126.85955872131731
566;4.514608612484366;-129.8247125171985
571;4.323384430278587;-132.54571885393727
576;4.140376721783768;-135.0419643926443
581;3.96645820163417;-137.3329933907445
586;3.802019003409995;-139.43772081310928
591;3.6471055775584658;-141.37396033369058
596;3.501529345916593;-143.15817705330502
601;3.3649486691606527;-144.80539249224447
606;3.23692890050875;-146.32918753172703
611;3.1169852669054334;-147.74176454610372
616;3.004612727534766;-149.0540421680301
621;2.899306196437511;-150.27576514733533
626;2.8005737743030097;-151.41561816100918
631;2.7079449944820144;-152.48133682516396
636;2.6209755708644593;-153.47981209468622
641;2.5392497335845605;-154.41718614444517
646;2.4623809349779235;-155.2989390297782
651;2.3900114831408152;-156.12996615498048
656;2.3218114958443152;-156.91464699834978
661;2.2574774484558477;-157.65690576158119
666;2.1967305040808074;-158.36026470437182
671;2.1393147533031596;-159.02789094128553
676;2.0849954478989123;-159.662637449414
681;2.0335572827217567;-160.26707898281148
686;1.9848027589673711;-160.84354352606312
691;1.9385506475696197;-161.39413985261592
696;1.8946345616635294;-161.92078168832623
701;1.852901640501176;-162.4252089196303
706;1.8132113429510763;-162.90900623005942
711;1.7754343460532522;-163.37361949894293
716;1.7394515425467092;-163.820370252012
721;1.7051531304831593;-164.25046841491775
726;1.6724377877433592;-164.66502358695428
731;1.641211924306815;-165.0650550230191
736;1.6113890053705242;-165.45150048653989
741;1.5828889387838927;-165.82522411425597
746;1.5556375207073274;-166.1870234149197
751;1.5295659338724423;-166.53763550776603
756;1.504610293296275;-166.8777426926367
761;1.4807112347640599;-167.20797743161816
766;1.4578135418346312;-167.52892681168905
771;1.4358658075336364;-167.84113654893773
776;1.4148201272797376;-168.14511458719895
781;1.3946318199370384;-168.4413343372975
786;1.375259174203755;-168.7302375973236
791;1.3566632178337643;-169.01223718937933
796;1.3388075074463341;-169.28771934390517
801;1.3216579369116699;-169.55704585894526
806;1.3051825625085471;-169.8205560584411
811;1.2893514432369877;-170.07856857080324
816;1.2741364948360534;-170.3313829465306
821;1.2595113562061162;-170.5792811314831
826;1.2454512670683477;-170.82252881052148
831;1.23193295581335;-171.06137663456943
836;1.2189345365971413;-171.2960613427011
841;1.2064354148377932;-171.52680678957967
846;1.1944162003508612;-171.75382488744933
851;1.1828586274375763;-171.97731647089503
856;1.1717454813075943;-172.19747209171172
861;1.1610605302787456;-172.41447275045292
866;1.150788463250512;-172.62849057054942
871;1.1409148319966038;-172.8396894202823
876;1.1314259978655483;-173.0482254873618
881;1.122309082517367;-173.25424781038626
886;1.1135519223594135;-173.4578987710339
891;1.1051430263760955;-173.65931455046265
896;1.0970715370754354;-173.8586255530594
901;1.0893271943010385;-174.05595680037965
906;1.0819003016809665;-174.251428297851
911;1.0747816955057645;-174.4451553765758
916;1.067962715846585;-174.63724901235346
921;1.0614351797412613;-174.827816123851
926;1.0551913562914348;-175.0169598516786
931;1.0492239435277075;-175.20477981997266
936;1.0435260469122833;-175.3913723819487
941;1.0380911593599442;-175.57683085076366
946;1.0329131426685274;-175.76124571691207
951;1.0279862102594308;-175.94470485328253
956;1.023304911137213;-176.1272937089065
961;1.0188641149851372;-176.3090954923515
966;1.0146589983205734;-176.49019134563585
971;1.0106850316406635;-176.67066050947548
976;1.0069379674945687;-176.85058048061222
981;1.0034138294240191;-177.0300271619204
986;1.0001089017188818;-177.20907500593788
991;0.9970197199389933;-177.38779715242444
996;0.9941430621577173;-177.56626556051125
