Frequency [Hz];Amplitude ratio;Phase shift [deg]
656;1.1423770879431874;-1.7627475205075065
661;1.144717499425278;-1.7841108009154143
666;1.1470827089597004;-1.80561808921363
671;1.1494729289760093;-1.8272705367517657
676;1.1518883752250446;-1.8490693151388484
681;1.1543292668319811;-1.8710156165237197
686;1.1567958263505622;-1.8931106538826823
691;1.1592882798184887;-1.9153556613144582
696;1.1618068568140425;-1.9377518943426704
701;1.1643517905139507;-1.9603006302259698
706;1.1669233177525051;-1.9830031682759348
711;1.1695216790820087;-2.0058608301829994
716;1.172147118834531;-2.028874960350437
721;1.1747998851850407;-2.052046926236737
726;1.1774802302159486;-2.075378118706449
731;1.18018840998304;-2.098869952389678
736;1.182924684582933;-2.1225238660505634
741;1.1856893182219792;-2.146341322964705
746;1.1884825792867524;-2.170323811306042
751;1.1913047404160801;-2.194472844543113
756;1.194156078574703;-2.2187899618451383
761;1.1970368751285918;-2.2432767284980377
766;1.1999474159219594;-2.2679347363306634
771;1.202887991356003;-2.292765604151478
776;1.2058588964694374;-2.317770978195957
781;1.2088604310208524;-2.3429525325849205
786;1.2118928995729448;-2.3683119697941684
791;1.214956611578665;-2.3938510211355606
796;1.2180518814693384;-2.4195714472499397
801;1.221179028744806;-2.445475038612121
806;1.2243383780656232;-2.4715636160483205
811;1.2275302593474198;-2.4978390312662966
816;1.2307550078573892;-2.5243031673984513
821;1.2340129643130497;-2.5509579395584216
826;1.2373044749832942;-2.577805295411301
831;1.2406298917917835;-2.6048472157579625
836;1.2439895724227634;-2.6320857151338264
841;1.247383880429369;-2.6595228424224153
846;1.2508131853444593;-2.687160681484142
851;1.2542778627940796;-2.715001351800678
856;1.2577782946136038;-2.743047009135368
861;1.2613148689666285;-2.7712998462100606
866;1.2648879804667055;-2.799762093398852
871;1.2684980303019684;-2.8284360194391494
876;1.2721454263627705;-2.857323932160591
881;1.2758305833723453;-2.8864281792321917
886;1.2795539230206718;-2.9157511489283765
891;1.2833158741015371;-2.945295270914237
896;1.2871168726529525;-2.9750630170507297
901;1.2909573621009682;-3.0050569022201987
906;1.29483779340702;-3.035279485172909
911;1.2987586252188796;-3.0657333693951143
916;1.3027203240253316;-3.0964212039993426
921;1.306723364314649;-3.1273456846373917
926;1.3107682287370255;-3.1585095544368387
931;1.314855408271015;-3.1899156049616217
936;1.3189854023941583;-3.221566677197444
941;1.32315871925786;-3.2534656625627125
946;1.327375875866666;-3.2856155039456745
951;1.331637398262085;-3.3180191967686654
956;1.3359438217110318;-3.350679790080115
961;1.3402956908990844;-3.383600387675203
966;1.3446935601286831;-3.416784149246035
971;1.3491379935223597;-3.4502342915620954
976;1.3536295652312471;-3.483954089682053
981;1.3581688596489327;-3.5179468781977157
986;1.3627564716308644;-3.5522160525111666
991;1.3673930067194566;-3.5867650701460723
996;1.3720790813750865;-3.6215974520942433
1001;1.3768153232131253;-3.6567167841984047
1006;1.3816023712472179;-3.6921267185724846
1011;1.386440876138992;-3.727830975060349
1016;1.391331500454363;-3.763833342734338
1021;1.3962749189267085;-3.80013768143484
1026;1.401271818727034;-3.836747923352058
1031;1.4063228997414068;-3.8736680746514036
1036;1.4114288748558677;-3.910902217143899
1041;1.4165904702490506;-3.948454510002942
1046;1.4218084256927506;-3.9863291915289945
1051;1.427083494860683;-4.0245305809636545
1056;1.4324164456457051;-4.063063080354727
1061;1.4378080604857724;-4.101931176473984
1066;1.4432591366988776;-4.141139442789285
1071;1.4487704868272957;-4.180692541492792
1076;1.4543429389914053;-4.2205952255871955
1081;1.4599773372534068;-4.260852341031865
1086;1.465674541991259;-4.301468828950766
1091;1.471435430283157;-4.34244972790438
